INFO  | 2018-06-19 15:20:44 | [pool-7-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1529396444242, elapsed time: 3
INFO  | 2018-06-19 15:20:44 | [pool-8-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1529396444248
INFO  | 2018-06-19 15:20:44 | [pool-9-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444265
INFO  | 2018-06-19 15:20:44 | [pool-9-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1529396444282, elapsed time: 17
INFO  | 2018-06-19 15:20:44 | [pool-10-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444313
INFO  | 2018-06-19 15:20:44 | [pool-10-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1529396444357, elapsed time: 44
INFO  | 2018-06-19 15:20:44 | [pool-11-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444362
INFO  | 2018-06-19 15:20:44 | [pool-12-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444368
INFO  | 2018-06-19 15:20:44 | [pool-13-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444375
INFO  | 2018-06-19 15:20:44 | [pool-14-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444380
INFO  | 2018-06-19 15:20:44 | [pool-15-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444390
INFO  | 2018-06-19 15:20:44 | [pool-15-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1529396444394, elapsed time: 4
INFO  | 2018-06-19 15:20:44 | [pool-16-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444403
INFO  | 2018-06-19 15:20:44 | [pool-16-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1529396444407, elapsed time: 4
INFO  | 2018-06-19 15:20:44 | [pool-17-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444421
INFO  | 2018-06-19 15:20:44 | [pool-17-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1529396444425, elapsed time: 4
INFO  | 2018-06-19 15:20:44 | [pool-18-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444430
INFO  | 2018-06-19 15:20:44 | [pool-19-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444436
INFO  | 2018-06-19 15:20:44 | [pool-20-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444441
INFO  | 2018-06-19 15:20:44 | [pool-21-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396444446
INFO  | 2018-06-27 10:50:44 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530071444380
INFO  | 2018-06-27 10:50:44 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530071444482, elapsed time: 102
INFO  | 2018-06-27 11:24:07 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530073447417
INFO  | 2018-06-27 11:24:07 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
